wavelength,absorbance,,,
7351.85892,0.0551,,,
7344.14449,0.056,,,
7336.43005,0.05701,,,
7328.71561,0.058,,,
7321.00117,0.05885,,,
7313.28674,0.05959,,,
7305.5723,0.06029,,,
7297.85786,0.06098,,,
7290.14342,0.06168,,,
7282.42899,0.06237,,,
7274.71455,0.06292,,,
7267.00011,0.06332,,,
7259.28567,0.06369,,,
7251.57124,0.064,,,
7243.8568,0.06426,,,
7236.14236,0.06473,,,
7228.42792,0.06554,,,
7220.71349,0.06655,,,
7212.99905,0.06748,,,
7205.28461,0.0684,,,
7197.57017,0.06941,,,
7189.85574,0.07036,,,
7182.1413,0.07123,,,
7174.42686,0.07208,,,
7166.71242,0.07301,,,
7158.99799,0.07417,,,
7151.28355,0.07528,,,
7143.56911,0.07632,,,
7135.85467,0.07772,,,
7128.14024,0.07928,,,
7120.4258,0.08076,,,
7112.71136,0.0824,,,
7104.99692,0.08432,,,
7097.28249,0.08651,,,
7089.56805,0.08904,,,
7081.85361,0.09174,,,
7074.13917,0.09458,,,
7066.42474,0.09777,,,
7058.7103,0.10127,,,
7050.99586,0.10495,,,
7043.28142,0.10882,,,
7035.56699,0.11283,,,
7027.85255,0.11684,,,
7020.13811,0.12089,,,
7012.42367,0.1249,,,
7004.70924,0.12879,,,
6996.9948,0.13256,,,
6989.28036,0.1362,,,
6981.56592,0.13966,,,
6973.85149,0.14292,,,
6966.13705,0.1459,,,
6958.42261,0.14858,,,
6950.70817,0.15098,,,
6942.99374,0.15314,,,
6935.2793,0.15506,,,
6927.56486,0.15677,,,
6919.85042,0.15831,,,
6912.13599,0.15971,,,
6904.42155,0.16092,,,
6896.70711,0.16192,,,
6888.99267,0.16282,,,
6881.27824,0.16363,,,
6873.5638,0.16431,,,
6865.84936,0.16491,,,
6858.13492,0.16543,,,
6850.42049,0.16589,,,
6842.70605,0.16624,,,
6834.99161,0.16648,,,
6827.27717,0.16666,,,
6819.56274,0.16682,,,
6811.8483,0.16692,,,
6804.13386,0.16699,,,
6796.41942,0.16706,,,
6788.70499,0.16713,,,
6780.99055,0.16712,,,
6773.27611,0.16704,,,
6765.56167,0.16696,,,
6757.84724,0.16688,,,
6750.1328,0.16679,,,
6742.41836,0.16674,,,
6734.70392,0.16671,,,
6726.98949,0.16667,,,
6719.27505,0.1666,,,
6711.56061,0.16648,,,
6703.84617,0.16635,,,
6696.13174,0.1662,,,
6688.4173,0.166,,,
6680.70286,0.16577,,,
6672.98842,0.1655,,,
6665.27399,0.1652,,,
6657.55955,0.16484,,,
6649.84511,0.16449,,,
6642.13067,0.16419,,,
6634.41624,0.16391,,,
6626.7018,0.1636,,,
6618.98736,0.16324,,,
6611.27292,0.16285,,,
6603.55849,0.16246,,,
6595.84405,0.16208,,,
6588.12961,0.1617,,,
6580.41517,0.1613,,,
6572.70074,0.16089,,,
6564.9863,0.16048,,,
6557.27186,0.16012,,,
6549.55742,0.15981,,,
6541.84299,0.15954,,,
6534.12855,0.15935,,,
6526.41411,0.15922,,,
6518.69967,0.15913,,,
6510.98524,0.15907,,,
6503.2708,0.159,,,
6495.55636,0.15893,,,
6487.84192,0.15895,,,
6480.12749,0.15906,,,
6472.41305,0.15919,,,
6464.69861,0.15934,,,
6456.98417,0.1595,,,
6449.26974,0.15966,,,
6441.5553,0.1598,,,
6433.84086,0.15996,,,
6426.12642,0.16017,,,
6418.41199,0.1604,,,
6410.69755,0.16062,,,
6402.98311,0.16086,,,
6395.26867,0.16111,,,
6387.55424,0.16132,,,
6379.8398,0.16148,,,
6372.12536,0.16163,,,
6364.41092,0.16177,,,
6356.69649,0.16187,,,
6348.98205,0.16189,,,
6341.26761,0.16187,,,
6333.55317,0.16182,,,
6325.83874,0.16173,,,
6318.1243,0.16158,,,
6310.40986,0.16135,,,
6302.69543,0.16107,,,
6294.98099,0.16076,,,
6287.26655,0.1604,,,
6279.55211,0.16,,,
6271.83768,0.15954,,,
6264.12324,0.15901,,,
6256.4088,0.15844,,,
6248.69436,0.15786,,,
6240.97993,0.15729,,,
6233.26549,0.15671,,,
6225.55105,0.15611,,,
6217.83661,0.15547,,,
6210.12218,0.15485,,,
6202.40774,0.15427,,,
6194.6933,0.15371,,,
6186.97886,0.15311,,,
6179.26443,0.15251,,,
6171.54999,0.15192,,,
6163.83555,0.15135,,,
6156.12111,0.1508,,,
